献艺 ||| 表演 ||| 表演 技艺 给 特定 对象 欣赏 。
医 ||| 医治 ||| 使用 特定 方法 医治 疾病 。
医 ||| 医治 ||| 形容 医疗 时会 用到 的 。
医 ||| 人 职位 医 医治 ||| 姓 。
医 ||| 医 ||| 比喻 使 损坏 的 物件 恢复 原来 的 功能 或 形状 。
到案 ||| 出现 机构 警 裁定 ||| 与 案件 相关 的 人 至 警察 或 司法机关 。
不实 ||| 不实 ||| 形容 为 人 不 实在 。
不实 ||| 不实 ||| 形容 与 事实 不符 。
人民 ||| 人 普通 众 ||| 具有 特定 国籍 的 人 ， 相对 于 政府 。
人民 ||| 人 普通 众 ||| 具有 特定 国家 国籍 的 人 。
大西洋 ||| 水域 专 面 ||| 三 大洋 之一 ， 世界 上 面积 第二 大 的 水域 。
民主党 ||| 团体 美国 政 专 ||| 美国 两大 主要 政党 中较 早 成立 的 政党 。
民主党 ||| 团体 美国 政 专 ||| 民主 政党 之一 。
置之不理 ||| 置之不理 ||| 对于 需要 处理 的 事 不 加以 处理 。
宅 ||| 地方 住下 ||| 长时间 待 在 自己 居住 的 地方 ， 不 外出 。
宅 ||| 地方 住下 ||| 设计 供 人 居住 或 规定 只能 用于 居住 的 建筑物 。
宅 ||| 宅 ||| 形容 外表 不修边幅 ， 通常 是 发型 凌乱 、 衣着 随便 没有 品味 的 。
宅 ||| 宅 ||| 形容 整天 待 在 家中 ， 不善 与 人 相处 ， 生活圈 狭小 的 。
励 ||| 促使 ||| 勉励 后 述 对象 ， 使 其 有 正面 的 想法 。
励 ||| 励 ||| 姓 。
疑似 ||| 疑似 ||| 表对 后述 推论 不能 完全 确定 。
越 ||| 地方 国家 亚洲 政 专 ||| 中国 古代 南方 的 少数民族 之一 ， 居于 浙 、 闽 、 粤 一带 。 亦 称为 ‘ 百越 ’ 、 ‘ 百粤 ’ 。
越 ||| 地方 国家 亚洲 政 专 ||| 表 程度 随着 条件 的 发展 而 变化 。 常用 ‘ 越 … 越 … ’ 。
越 ||| 地方 国家 亚洲 政 专 ||| ‘ 越南 ’ 的 缩写 。
越 ||| 越过 ||| 跨过 、 越过 阻碍 。
越 ||| 越过 ||| 超出 规定 的 权限 或 原则 ， 专指 抽象概念 。
越 ||| 越过 ||| 超出 规定 的 限度 范围 ， 专指 具体 规定 。
传世 ||| 经受 留给 ||| 流传 到 后世 。
传世 ||| 传世 ||| 公开 传播 出去 。
改成 ||| 改变 ||| 达到 改变 的 目标 。
改成 ||| 改成 ||| 将 前述 对象 归入 后 述 类别 。
改成 ||| 改成 ||| 用 后述 对象 取代 前述 对象 。
吧 ||| 功能词 语助 ||| 表 期望 得到 他人 同意 的 语气 。
吧 ||| 功能词 语助 ||| 表 感叹 的 语气 。
吧 ||| 功能词 语助 ||| 表 建议 的 语气 。
吧 ||| 功能词 语助 ||| 表 停顿 的 语气 。
吧 ||| 功能词 语助 ||| 表 同意 的 语气 。
吧 ||| 功能词 语助 ||| 表 推测 的 语气 。
岂敢 ||| 功能词 ||| 以 客套 语气 表达 应该 有所 顾忌 而 不敢 去 做 后述 事件 。
岂敢 ||| 功能词 ||| 表 委婉 接受 他人 对 自己 的 赞美 或 感谢 。
吞下去 ||| 吞下去 ||| 比喻 压抑 住 情感 或 言辞 。
吞下去 ||| 吞下去 ||| 将 物体 不 经 细嚼 进入 食道 。
孙运璿 ||| 孙运璿 ||| 台湾 政治 人物 ， 曾任 台电 董事长 、 经济部长 、 交通部长 及 行政院长 。
修理 ||| 强迫 屈服 ||| 竞赛 中 让 对方 输得 很 难看 。
修理 ||| 修理 ||| 对 不合 己意 的 人 使用 言语 暴力 。
修理 ||| 修理 ||| 对 不合 己意 的 人 使用 肢体 暴力 。
修理 ||| 修理 ||| 使 损坏 的 物件 恢复 原来 的 功能 或 形状 。
修理 ||| 修理 ||| 修剪 整理 植物 。
修理 ||| 修理 ||| 因 前述 外力 的 侵犯 而 受到 损害 ， 多 用于 被动 句 。
渔场 ||| 地方 农 捉住 鱼 ||| 海洋 中 主要 捕捉 水生动物 的 水域 ， 通常 为 鱼类 聚集 处 。
自 ||| 人 己 ||| 表 事件 顺应 步骤 发展 ， 非人 为 刻意 造成 。
自 ||| 功能词 ||| 引介 事件 发生 的 路径 起点 。
自 ||| 功能词 ||| 引介 事件 发生 的 时间 起点 。
自 ||| 自 ||| 代指 主事者 。
自 ||| 自 ||| 引介 来源 。
自 ||| 自 ||| 引介 路径 。
自 ||| 自 ||| 引介 起始 范围
机缘 ||| 命运 人 ||| 机会 和 缘分 。
预备 ||| 特性值 准备 ||| 形容 取得 规定 的 资格 ， 以备 日后 可以 成为 正式 身份 的 。
预备 ||| 预备 ||| 表 动作 进行 前 的 提醒 语 。
预备 ||| 预备 ||| 事前 安排 筹划 。
人马座 ||| 天体 ||| 人马座 的 人 。
人马座 ||| 天体 ||| 西洋 十二 星座 之一 ， 十一月 二十二日 到 十二月 二十一日 之间 出生 者 的 命宫 。
人马座 ||| 天体 ||| 星座 名 ， 星群 排列 形状 像 希腊神话 中半人 半马 的 猎手 。
抱 ||| 心怀 ||| 心中 存有 特定 态度 或 想法 。
抱 ||| 抱 ||| 得奖 。
抱 ||| 抱 ||| 花费 大量 时间 于 特定 事物 上 。
抱 ||| 抱 ||| 用手掌 及 手臂 圈住 特定 对象 。
上天 ||| 上天 ||| 人类 相信 能够 控制 自然界 或 人类 命运 的 主宰者 。
零 ||| 零 ||| 比喻 什么 都 没有 。
零 ||| 零 ||| 零钱 。
零 ||| 零 ||| 数 的 空位 。
零 ||| 零 ||| 形容 比喻 什么 都 没有 。
零 ||| 零 ||| 形容 将 整体 对象 分批 或 分次 处理 。
零 ||| 零 ||| 姓 。
零 ||| 零 ||| 整数 ， 最小 的 自然数 。
长城 ||| 设施 中国 专 ||| ‘ 万里长城 ’ 的 缩写 。
长城 ||| 长城 ||| 比喻 已 建立 好 的 重大成果 。
中华日报 ||| 中华日报 ||| 纪录 中华日报 新闻 内容 的 载体 ， 通常 为 纸张 。
中华日报 ||| 中华日报 ||| 台湾 的 一家 报社 ， 为 中国国民党 党营 事业 之一 ， 民国 三十五年 创刊 ， 是 台南 地方 报 。
中华日报 ||| 中华日报 ||| 中华日报 出版 的 报纸 ， 指 内容 部分 。
中华日报 ||| 中华日报 ||| 中华日报 的 建筑物 及 建筑物 所在 的 位置 。
游客 ||| 人 旅游 ||| 前往 特定 地点 休闲 或 娱乐 的 人 。
李远哲 ||| 李远哲 ||| 台湾 当代 科学家 ， 西元 1986 年 获得 诺贝尔化学奖 。
等同于 ||| 等同于 ||| 将 不同 的 事物 当成 同样 的 事物 看待 。
依偎 ||| 依偎 ||| 亲密 地 紧靠着 。
资金 ||| 资金 金融 ||| 用于 营利 或 其他 投资 事业 的 金钱 。
林肯 ||| 人 美国 政 元首 专 ||| 美国 第十六 任 总统 。 美国 内战 时 领导 北方 打赢 南北战争 ， 解放 黑奴 。
林肯 ||| 车 特定牌子 自动 ||| 福特汽车公司 出产 的 一款 汽车品牌 。
怀 ||| 部件 部件 身 动物 ||| 人类 胸部 前方 与 胸部 贴近 的 地方 。
怀 ||| 部件 部件 身 动物 ||| 雌性 动物 肚子 有胎 。
怀 ||| 部件 部件 身 动物 ||| 形容 带 在 身上 的 。
怀 ||| 思念 ||| 思念 特定 对象 。
怀 ||| 心怀 ||| 心中 存有 的 特定 意念 。
怀 ||| 心怀 ||| 心中 存有 特定 态度 或 想法 。
怀 ||| 部件 部件 身 动物 ||| 将 后述 物品 携带 在 身上 。
怀 ||| 部件 部件 身 动物 ||| 用手掌 及 手臂 圈住 特定 对象 。
怀 ||| 怀 ||| 拥有 后 述 技能 。
犹 ||| 功能词 也 ||| 表 预期 发生 的 改变 在 时间 参考点 之后 。
犹 ||| 功能词 也 ||| 表 动作 或 情况 持续 不变 ， 通常 用于 转折 语气 。
犹 ||| 功能词 也 ||| 表与 前述 事物 有 共同点 的 后述 事物 作为 譬喻 。
犹 ||| 犹 ||| 姓 。
不致于 ||| 不会 ||| 表 不会 达到 后 述 负面 结果 。
尤有进者 ||| 尤有进者 ||| 表后述 事件 的 程度 或 范围 更进一步 。
窍 ||| 部件 口 无生物 ||| 物体 中空 可 被 其他 物体 通过 的 地方 。
窍 ||| 部件 口 无生物 ||| 比喻 对 特定 技巧 或 知识 的 理解 应用 。 常 与 ‘ 开 ’ 连用 。
中华民国 ||| 时间 朝代 中国 专 过去 ||| 位于 台湾岛 的 国家 ， 建立 于 西元 1912 年 的 民主 共和国 ， 辖区 包含 台湾 、 澎湖 、 金门 、 马祖 。
中华民国 ||| 时间 朝代 中国 专 过去 ||| 中华民国 记载 年代 的 方法 ， 从西元 一九一二年 开始 。 同义词 ‘ 民国 ’ 。
中华民国 ||| 时间 朝代 中国 专 过去 ||| 治理 中华民国 的 政府 。
损坏 ||| 损害 ||| 使 特定 对象 受到 损伤 而 无法 自动 复原 。
年初 ||| 时间 始 年 ||| 一年 开头 的 一段 时期 。
秦 ||| 时间 朝代 中国 皇 专 过去 ||| 五胡十六 国 之一 ， 西元 351 年 至 西元 394 年 ， 苻 健所建 。
秦 ||| 时间 朝代 中国 皇 专 过去 ||| 五胡十六 国 之一 ， 西元 384 年 至 西元 417 年 ， 姚苌 所建 。
秦 ||| 时间 朝代 中国 皇 专 过去 ||| 五胡十六 国 之一 ， 西元 385 年 至 西元 431 年 ， 乞 伏国仁 所 建 。
秦 ||| 时间 朝代 中国 皇 专 过去 ||| 中国 朝代 名 ， 西元前 248 年 至 西元前 207 年 ， 由 秦始皇 所 建立 。
秦 ||| 时间 朝代 中国 皇 专 过去 ||| 战国七雄 之一 ， 西元前 770 年 至 西元前 247 年 ， 秦襄公 所 建 。
秦 ||| 时间 朝代 中国 皇 专 过去 ||| 秦朝 的 国号 。
秦 ||| 时间 朝代 中国 皇 专 过去 ||| 秦朝 的 政权 。
秦 ||| 时间 朝代 中国 皇 专 过去 ||| 中国 省 名 ， 位于 黄河 和 陇山 之间 的 区域 。 ‘ 陕西省 ’ 的 简称 。
秦 ||| 姓 ||| 姓 。
四下 ||| 周围 ||| 表 目光 所及 的 周围 。
嵇 ||| 姓 ||| 三国 时 曹魏 文学家 ， 竹林七贤 之一 。 ‘ 嵇康 ’ 的 缩写 。
嵇 ||| 姓 ||| 姓 。
新生 ||| 人 教育 纳入 学习 ||| 刚 入学 的 学生 。
新生 ||| 复原 活着 死 ||| 重新 获得 的 生命 或 生活 。
新生 ||| 人 教育 纳入 学习 ||| 刚 加入 的 成员 。
新生 ||| 新生 ||| 形容 刚出生 或刚 出现 的 。
新生 ||| 新生 ||| 重新 生长 。
张三 ||| 张三 ||| 代指 不 特定 的 举例 对象 。
张三 ||| 张三 ||| 中文 名字 。
王宝钏 ||| 王宝钏 ||| 唐代 宰相 王允 的 女儿 ， 为 丈夫 薛平贵 苦守 寒窑 十八年 。
钓鱼 ||| 捉住 水域 农 鱼 ||| 用 装有 钓饵 的 钩 诱捕 鱼类 。
钓鱼 ||| 捉住 水域 农 鱼 ||| 比喻 断断续续 地 闭目 小睡 。
钓鱼 ||| 钓鱼 ||| 比喻 引诱 别人 上当 。
润滑剂 ||| 材料 液态 润滑 ||| 可用 来 降低 摩擦力 的 油性 物质 。
润滑剂 ||| 润滑剂 ||| 比喻 可 减少 两个 以上 特定 对象 间 的 冲突 的 特定 对象 。
其实 ||| 真 ||| 表 事件 的 实际 情况 。
草原 ||| 陆地 花草 ||| 表面 有草 生长 的 大片 土地 形成 的 自然景观 。
对等 ||| 对等 ||| 形容 双方 相对 的 等级 、 地位 。
舖 ||| 舖 ||| 贩卖 商品 或 提供 特定 服务 的 地方 。
咨商 ||| 咨商 ||| 向 专业人士 提出 社会 或 心理 问题 以 获得 解答 或 建议 。
咨商 ||| 咨商 ||| 有 决定权 的 参与者 讨论 解决方案 。
锐 ||| 强 ||| 表 迅速 且 剧烈 。
锐 ||| 锐 ||| 形容 比喻 煞车 灵活 的 。
锐 ||| 锐 ||| 形容 尖且 容易 刺进 物体 的 。
锐 ||| 锐 ||| 形容 目光犀利 的 。
锐 ||| 锐 ||| 形容 训练有素 且 精炼 勇敢 的 。
锐 ||| 锐 ||| 姓 。
滩 ||| 陆地 靠近 水域 ||| 水体 旁 的 沙石 地 ， 会 随着 水位 高低 而 淹没 或 露出 。
滩 ||| 陆地 靠近 水域 ||| 通常 用于 水体 旁 的 沙石 地 及其 周遭 区域 的 名称 。
滩 ||| 陆地 靠近 水域 ||| 河流 中 水浅 、 沙石 多 而 水流 急速 的 地方
滩 ||| 滩 ||| 计算 扩散 成 片状 的 物体 的 单位 ， 通常 用于 液体 或 稠 状物 。
诸多 ||| 多 很 ||| 数量 大 或 种类 多 。
如同 ||| 功能词 ||| 引介 与 前述 事物 有 共同点 的 后述 事物 作为 譬喻 。
如同 ||| 功能词 ||| 引介 相似 的 事件 情况 。
居中 ||| 位置 中位 ||| 表 处于 两方 之间 。
居中 ||| 位置 中位 ||| 表 等级 在 两端 之间 。
居中 ||| 处于 中位 ||| 形容 建筑物 位于 基地 正中间 。
居中 ||| 处于 中位 ||| 形容 位于 特定 范围 的 正中间 。
母 ||| 人 家庭 女 直系 长辈 ||| 子女 对 生育 自己 的 女子 的 指称 ， 或 指 在 家庭 关系 中 扮演 母亲 角色 的 女子 。
母 ||| 人 家庭 女 直系 长辈 ||| 除了 人 以外 具有 生产 后代 能力 的 动物 。
母 ||| 人 家庭 女 直系 长辈 ||| 形容 除了 人 以外 的 动物 中具 生产 后代 能力 的 性别 。
母 ||| 人 家庭 女 直系 长辈 ||| 对 特定 领域 里 创始 或 表现 杰出 的 女子 的 尊称 。 常用 ‘ .... 之母 ’ 。
母 ||| 人 家庭 女 直系 长辈 ||| 有 子女 的 女子 。
母 ||| 部件 根 实体 事件 ||| 成 对 物品 中 具有 相对 的 雌性 特征 ， 多半 是 体型 较 小 或 外表 缺乏 凸出 物 。
母 ||| 人 家庭 女 直系 长辈 ||| 形容 最 主要 的 ， 相对 于 其 分出 的 其他 对象 。
母 ||| 来源 物质 ||| 形容 事物 发生 的 来源 。
母 ||| 部件 根 实体 事件 ||| 产生 前述 事物 最 重要 的 条件 。 常用 ‘ … 之母 ’ 。
母 ||| 人 家庭 女 直系 长辈 ||| 姓 。
发 ||| 部件 毛 人 ||| 事先 核准 后 将 后述 证件 或 执照 给 特定 对象 。
发 ||| 部件 毛 人 ||| 人类 头上 的 毛 。
发 ||| 部件 毛 人 ||| 植物 新 的 枝叶 刚 开始 长 出来 。
发 ||| 部件 毛 人 ||| 按 特定 的 分配原则 将 物品 给 特定 对象 。
发 ||| 部件 毛 人 ||| 将 本身 没有 动力 的 物体 射 出 ， 使 其能 在 空中 运动 。
发 ||| 部件 毛 人 ||| 启发 后 述 对象 。
发 ||| 部件 毛 人 ||| 为 特定 目的 而 使用 后 述 能力 或 特质 。
发 ||| 部件 毛 人 ||| 由 特定 地点 开出 后述 有 固定 路线 、 按 排定 时间 行驶 的 交通工具 。
发 ||| 扩大 食品 ||| 使 干 的 食材 泡水 膨胀 。
发 ||| 部件 毛 人 ||| 产生 后 述 生理 状态 ， 通常 为 负面 。
发 ||| 部件 毛 人 ||| 发生 后 述 灾难 。
发 ||| 部件 毛 人 ||| 给 特定 对象 婚丧喜庆 的 邀请函 ， 通常 隐含 接受者 必须 送礼 。
发 ||| 部件 毛 人 ||| 启动 机器 里 的 马达 。
发 ||| 部件 毛 人 ||| 形容 得到 让 众人 羡慕 的 名利 。
发 ||| 部件 毛 人 ||| 以 文字 或 言语 内容 给 特定 对象 ， 通常 要求 其 接受 或 回应 。
发 ||| 部件 毛 人 ||| 因 变化 而 显现出 后 述 状态 。
发 ||| 部件 毛 人 ||| 周武王 ， 讨伐 商 纣王 而 建立 周朝 ， 谥号 武 。
发 ||| 名量 武器 军 ||| 发射 弹药 次数 的 单位 。
发 ||| 名量 武器 军 ||| 计算 发射 弹药 次数 的 单位 。
发 ||| 名量 武器 军 ||| 计算 弹药 数量 的 单位 。
发 ||| 扩大 食品 ||| 形容 食材 因 发酵 而 膨胀 的 。
发 ||| 部件 毛 人 ||| 从 特定 主体 中 散发出 气味 、 光线 、 能量 或 烟雾 等 。
发 ||| 部件 毛 人 ||| 公开 作品 或 商品 ， 使 其 在 销售 管道 流通 。
发 ||| 部件 毛 人 ||| 开启 特定 事件 的 重要 阶段 。
发 ||| 部件 毛 人 ||| 以声 或 光 的 方式 发出 讯号 ， 通常 用于 警告 。
发 ||| 出版 ||| 公开 出版 作品 或 宣读 文字 。
发 ||| 发表 ||| 公布 消息 或 新闻 。
发 ||| 成为 ||| 麻将 中 的 牌面 ， 为 三种 箭牌 之一 。
发 ||| 成为 ||| 以 电波 或 电脑 为 媒介 传送 讯息 。
发 ||| 射击 武器 ||| 发射 雷射 光线 次数 的 单位 。
发 ||| 射击 武器 ||| 计算 发射 雷射 光线 次数 的 单位 。
发 ||| 射击 武器 ||| 计算 球类运动 中 ， 投球 、 击球 或 踢球 次数 的 单位 。
发 ||| 射击 武器 ||| 计算 事件 次数 的 单位 。
发 ||| 部件 毛 人 ||| 产生 特定 心理 状态 或 思想 特质 。
发 ||| 部件 毛 人 ||| 动物 用 发声器官 产生 声音 。
发 ||| 部件 毛 人 ||| 进行 动作 或 事件 时 产生 声音 。
发 ||| 发 ||| 清楚 决定 。
发 ||| 发 ||| 使 食材 发酵 。
发 ||| 发 ||| 说出 话语 。
发 ||| 发 ||| 形容 疾病 或 病征 出现 。
发 ||| 发 ||| 形容 意外 得到 大量 财物 。
发 ||| 发 ||| 用 言语 或 行为 传达 情感 或 态度 。
面目 ||| 外观 人 ||| 人 或 动物 的 外表 相貌 ， 特指 脸部 外观 。
面目 ||| 名声 人 ||| 比喻 人 的 尊严 。 常用 于 反诘 。
面目 ||| 外观 人 ||| 前述 人 或 团体 经过 掩饰 的 本质 。 常 与 ‘ 真 ’ 连用 。
面目 ||| 面目 ||| 前述 社群 呈现 出来 的 发展 状态 。
卖 ||| 卖 ||| 将 物品 所有权 转移 以 取得 金钱 。
卖 ||| 卖 ||| 看 对方 的 情面 ， 表示 可以 通融 。
卖 ||| 卖 ||| 协助 他人 用 非法手段 取得 职位 或 资格 ， 以 求得 不当 利益 。
阶 ||| 部件 部件 络 建筑物 ||| 比喻 特定 事件 变化 或 发展 时 依照 时序 或 发展 段落 分成 的 多个 段落 的 其中 一部分 。
阶 ||| 部件 部件 络 建筑物 ||| 阶梯 中 多个 平台 中 的 一个 。
阶 ||| 部件 部件 络 建筑物 ||| 比喻 特定 组织 架构 中 的 职位 等级 。
阶 ||| 部件 部件 络 建筑物 ||| 便于 人往 高处 或 低处 移动 的 阶梯 。
阶 ||| 部件 部件 络 建筑物 ||| 比喻 达到 前述 目标 必须 经过 的 阶段 。
阶 ||| 部件 部件 络 建筑物 ||| 地层 年代 分类单位 的 一种 ， 在统 之下 ， 亚阶 之上 。
阶 ||| 部件 部件 络 建筑物 ||| 计算 音程 的 单位 。
阶 ||| 部件 部件 络 建筑物 ||| 音程 的 单位 。
外来 ||| 外来 ||| 形容 不是 原本 的 特定 地区 所 存在 的 。
鹅 ||| 禽 家养 ||| 脊椎动物 ， 家禽 ， 卵生 ， 脖子 长 ， 身上 有 羽毛 ， 善 游水 ， 有 翅膀 ， 但 不善 飞行 。
鹅 ||| 鹅 ||| 比喻 反应迟钝 的 人 。
鹅 ||| 鹅 ||| 提供 男子 性 服务 以 赚取 金钱 的 男子 。
鹅 ||| 鹅 ||| 以鹅为 形象 制成 的 人 造物 。
鹅 ||| 鹅 ||| 以鹅为 主要 食材 的 料理 。
论 ||| 功能词 ||| 常用 在 法律 及 正式 文件 ， 视同 之意 。 常用 ‘ 以 … 论 ’ 。
论 ||| 功能词 ||| 个人 的 说法 或 信念 。
论 ||| 功能词 ||| 依据 、 按照 。
论 ||| 功能词 ||| 引介 讨论 的 主题 。
论 ||| 语文 ||| 评论 。
论 ||| 论 ||| 判定 、 断定 。
更何况 ||| 功能词 ||| 连接 更强 的 条件 来 支持 前面 的 命题 。
更何况 ||| 功能词 ||| 连接 其他 事实 来 强调 前述 事件 。
反正 ||| 功能词 ||| 用来 强调 某种 既定 或 已知 的 事实 或 情况 ， 说明 不 影响 事情 状况 的 理由 。
著名 ||| 著名 ||| 形容 因 前述 对象 而出名 。 常用 ‘ 以 … 著名 ’ 。
著名 ||| 著名 ||| 形容 为 众人 所知 且 在 特定 领域 中有 较 高 的 评价 的 。
总而言之 ||| 功能词 ||| 表 以后 述 结论 为 总结 。
华佗 ||| 华佗 ||| 东汉 名医 。 擅长 外科手术 ， 首用 麻醉剂 为 病人 开刀 治疗 。
五 ||| 基数 ||| 整数 ， 为 四加 一 的 和 。
五 ||| 五 ||| 顺序 排 在 第五 。
转 ||| 改变 ||| 将 后述 对象 改变 成新 的 特定 对象 。 常用 ‘ 转 … 成 ’ 、 ‘ 转 … 为 ’ 。
转 ||| 改变 ||| 比喻 改变 档案 播放 的 速度 或 段落 。
转 ||| 改变 ||| 比喻 改变 频道 。
转 ||| 改变 ||| 比喻 改变 事件 的 对象 。
转 ||| 改变 ||| 比喻 改变 议题 。
转 ||| 改变 ||| 比喻 更改 想法 。
转 ||| 改变 ||| 存录 的 资料 由 前述 格式 改成 后 述 格式 。
转 ||| 改变 ||| 改变 成后述 状态 。
转 ||| 改变 ||| 改变 行进路线 。
转 ||| 改变 ||| 诗文 章法 结构 的 用语 之一 ， 改变 陈述 的 方向 。
转 ||| 改变 ||| 特定 事物 的 所有权 拥有者 发生 改变 。
转 ||| 转动 ||| 计算 黑胶 唱片 适当 播放 时 的 转速 的 单位 。
转 ||| 转动 ||| 旋转 。
转 ||| 转 ||| 比喻 从 原来 就读 的 科系 变换 到 另 一个 科系 就读 。
转 ||| 转 ||| 比喻 电话 由 总机 接到 分机 。
转 ||| 转 ||| 比喻 现在 特定 的 情境 或 议题 中 。
转 ||| 转 ||| 从 一个 交通工具 换到 另 一个 交通工具 。
转 ||| 转 ||| 改变方向 。
转 ||| 转 ||| 计算机 器 运转 的 速度 的 单位 。
转 ||| 转 ||| 将 存录 的 资料 由 一方 传给 另一方 。
转 ||| 转 ||| 将 特定 对象 由 一方 传送 到 另一方 。
转 ||| 转 ||| 将 特定 对象 与其 附带 责任 由 中介 者 送到 另一方 。
转 ||| 转 ||| 使 物体 维持 本身 的 轴心 ， 做 连续 改变方向 的 运动 。
转 ||| 转 ||| 物体 绕 着 轴心 ， 作 圆周运动 。
转 ||| 转 ||| 物体 维持 本身 的 轴心 ， 做 连续 改变方向 的 运动 。
转 ||| 转 ||| 在 特定 范围 内 的 各个 地点 走一遍 。
转 ||| 转 ||| 转紧 发条 。
电脑 ||| 电脑 ||| 电脑 的 实体 ， 特别 指 外表 ， 通常 包括 荧幕 、 键盘 、 主机 等 。
电脑 ||| 电脑 ||| 电脑 的 功能 ， 通常 包括 程式 、 软体 等 。
电脑 ||| 电脑 ||| 比喻 计算 或 记忆 能力 很强 的 人 。
电脑 ||| 电脑 ||| 研究 或 操作电脑 的 知识 。
套 ||| 地方 包围 水域 线 ||| 环绕 特定 物体 且 拉紧 后 可以 固定 在 该 物体 上 不会 脱落 的 圈 状物 。
套 ||| 地方 包围 水域 线 ||| 用于 河流 或 山势 转折 弯曲 的 地方 的 名称 。
套 ||| 地方 包围 水域 线 ||| 比喻 以 特定 规范 限制 后 述 对象 的 行为 。
套 ||| 用具 遮盖 ||| 比喻 将 其他 特定 对象 拿来 当作 自己 的 使用 。
套 ||| 用具 遮盖 ||| 成组 搭配 好 的 事物 的 单位 。
套 ||| 用具 遮盖 ||| 计算 成组 搭配 好 的 事物 的 单位 。
套 ||| 用具 遮盖 ||| 将 和 特定 物体 形状 相符 的 物品 包覆 在 该 物体 上 。
套 ||| 地方 包围 水域 线 ||| 形容 用来 包覆 在 特定 物体 上 的 。
套 ||| 地方 包围 水域 线 ||| 用圈 状物 环绕 在 特定 物体 上 。
套 ||| 用具 遮盖 ||| 比喻 利用 和 他人 的 交情 ， 希望 可以 获得 好处 。
套 ||| 用具 遮盖 ||| 比喻 特定 事件 既定 的 程序 或 计划 。
套 ||| 用具 遮盖 ||| 比喻 投资 的 资金 因 特定 原因 而 无法 流通 运用 。
套 ||| 用具 遮盖 ||| 和 特定 物体 形状 相符 ， 用来 包覆 该 物体 的 物品 。
套 ||| 用具 遮盖 ||| 两个 以上 的 特定 对象 互相 衔接 或 重叠 。
套 ||| 用具 遮盖 ||| 形容 事物 成组 搭配 好 的 。
套 ||| 套 ||| 比喻 方法 、 手段 。
套 ||| 套 ||| 比喻 用 言语 引导 他人 说出 实情 。
注 ||| 语文 说明 ||| 补充 说明 或 解释 本文 。
注 ||| 语文 说明 ||| 以 补充 说明 或 解释 特定 文本 而 撰写 成 的 书籍 。
注 ||| 语文 说明 ||| 用来 补充 说明 或 解释 本文 的 文字 。
注 ||| 钱财 赌博 ||| 赌博 时所 押出 的 财物 。
注 ||| 记录 ||| 向 特定 对象 登记 以 确认 身份 或 取得 特定 权利 。 ‘ 注册 ’ 的 简省 。
注 ||| 说明 ||| 大量 前述 流体 进入 后 述 范围 。
注 ||| 钱财 赌博 ||| 灌入 特定 物质 至 特定 容器 或 空间 中 ， 通常 是 流体 或 细小 颗粒 。
注 ||| 注 ||| 比喻 集中 注意力 在 特定 对象 上 。
注 ||| 注 ||| 比喻 特定 情绪 大量 产生 。
注 ||| 注 ||| 比喻 为 特定 对象 带来 正面 影响 。
注 ||| 注 ||| 标示 文字 的 读音 。
注 ||| 注 ||| 将 视线 固定 在 特定 对象 上 。
生长 ||| 成长 ||| 人 的 生理 和 心理 成长 。
生长 ||| 成长 ||| 生物体 由小到大 发育 。
卸 ||| 拆卸 ||| 切 下 动物 的 肢体 。
卸 ||| 卸 ||| 比喻 不再 担任 特定 职务 或 承担 特定 义务 。
卸 ||| 卸 ||| 比喻 消除 后 述 对象 使 其 不 存在 。
卸 ||| 卸 ||| 除去 涂抹 在 身上 的 化妆品 。
卸 ||| 卸 ||| 将 物体 拆除 。
卸 ||| 卸 ||| 将 物体 拿下 。
卸 ||| 卸 ||| 姓 。
能力 ||| 能力 ||| 特定 对象 可以 发挥 、 表现 且 达到 特定 目标 的 特质 。
通体 ||| 物质 ||| 表 物体 的 全部 。
通体 ||| 通体 ||| 表 包含 事件 的 全部 。
通体 ||| 通体 ||| 表 整个 身体 的 内部 。
房 ||| 部件 家庭 ||| 计算 家族 的 分支 的 单位 。
房 ||| 部件 家庭 ||| 家族 的 分支 。
房 ||| 部件 家庭 ||| 对 男子 在 婚姻关系 中 的 配偶 的 指称 。
房 ||| 部件 家庭 ||| 计算 男子 在 婚姻关系 中 的 配偶 的 单位 。
房 ||| 部件 家庭 ||| 动物 器官 内部 的 空腔 。
房 ||| 部件 家庭 ||| 房间 的 建筑物 及 建筑物 所在 的 位置 。
房 ||| 部件 家庭 ||| 房子 的 建筑物 及 建筑物 所在 的 位置 。
房 ||| 部件 家庭 ||| 建筑物 中以 墙壁 隔开 的 单位 。
房 ||| 部件 家庭 ||| 结构 或 功能 类似 像 房子 的 物体 。
房 ||| 部件 家庭 ||| 一家人 可以 居住 的 建筑 单位 。
房 ||| 部件 家庭 ||| 独立 的 建筑物 。
房 ||| 部件 家庭 ||| 中国 天文学 的 星宿 ， 为 东方 苍龙 之一 。
房 ||| 姓 ||| 姓 。
毙 ||| 毙 ||| 表达 到 最高 程度 。
毙 ||| 毙 ||| 形容 生物 失去 生命 。
丹红 ||| 丹红 ||| 像 鲜血 一样 较 鲜艳 的 红色 。
粉 ||| 用具 化妆 ||| 化妆 时 涂抹 在 脸上 用来 修饰 肤色 与 肤质 的 粉状 化妆品 。
粉 ||| 用具 化妆 ||| 表 超过 平常 的 程度 。
